method,loss_func,net,seed,init,act_func,train loss,train loss (last),train acc,train acc (last)
CBP,CE,4-13-2,6,None,relu,0.4620651304721832,0.4620651304721832,0.7914438502673797,0.7887700534759359
CBP,CE,4-13-2,7,None,relu,0.4632716476917267,0.4632716476917267,0.7914438502673797,0.7860962566844921
CBP,CE,4-13-2,8,None,relu,0.460724800825119,0.460724800825119,0.7967914438502673,0.7954545454545454
CBP,CE,4-13-2,9,None,relu,0.4603053629398346,0.4603053629398346,0.7954545454545454,0.7941176470588235
BP,CE,4-15-2,0,None,relu,0.4703573882579804,0.4703573882579804,0.7740641711229946,0.7727272727272727
BP,CE,4-15-2,1,None,relu,0.469414234161377,0.469414234161377,0.7754010695187166,0.7740641711229946
BP,CE,4-15-2,2,None,relu,0.470923125743866,0.470923125743866,0.7740641711229946,0.7727272727272727
BP,CE,4-15-2,3,None,relu,0.4690624475479126,0.4690624475479126,0.7807486631016043,0.7807486631016043
BP,CE,4-15-2,4,None,relu,0.4719131886959076,0.4719131886959076,0.7740641711229946,0.7727272727272727
BP,CE,4-15-2,5,None,relu,0.4682953059673309,0.4682953059673309,0.7847593582887701,0.7847593582887701
BP,CE,4-15-2,6,None,relu,0.4719015657901764,0.4719015657901764,0.7740641711229946,0.7713903743315508
BP,CE,4-15-2,7,None,relu,0.4705353975296021,0.4705353975296021,0.7847593582887701,0.7847593582887701
BP,CE,4-15-2,8,None,relu,0.470313012599945,0.470313012599945,0.7740641711229946,0.7740641711229946
BP,CE,4-15-2,9,None,relu,0.4715242385864258,0.4715242385864258,0.7754010695187166,0.7713903743315508
CBP,CE,4-15-2,0,None,relu,0.4619986116886139,0.4619986116886139,0.7914438502673797,0.7887700534759359
CBP,CE,4-15-2,1,None,relu,0.4613300561904907,0.4613300561904907,0.7941176470588235,0.7914438502673797
CBP,CE,4-15-2,2,None,relu,0.4613857269287109,0.4613857269287109,0.7954545454545454,0.7927807486631016
CBP,CE,4-15-2,3,None,relu,0.4617926478385925,0.4617926478385925,0.7954545454545454,0.7914438502673797
CBP,CE,4-15-2,4,None,relu,0.4604300558567047,0.4604300558567047,0.7941176470588235,0.7914438502673797
CBP,CE,4-15-2,5,None,relu,0.4638893306255341,0.4638893306255341,0.7887700534759359,0.7874331550802139
CBP,CE,4-15-2,6,None,relu,0.4617002010345459,0.4617002010345459,0.7901069518716578,0.7874331550802139
CBP,CE,4-15-2,7,None,relu,0.4629946649074554,0.4629946649074554,0.7954545454545454,0.7927807486631016
CBP,CE,4-15-2,8,None,relu,0.4616051018238068,0.4616051018238068,0.7954545454545454,0.7927807486631016
CBP,CE,4-15-2,9,None,relu,0.4626050591468811,0.4626050591468811,0.7954545454545454,0.7914438502673797
